MARQUE,REFCIALE,VCODE,VCODELIBELLE,VTYP,VARIANTE,VFABDIS,VVALEUR,VUNITE,VNUMV,VNUMR
BLAKLADER,4480197789534XL,COL,Veste hiver haute-visibilité Marine/Orange fluo,FABDIS,Marine/Orange fluo,COLORM,,,1,1
BLAKLADER,448019778953M,COL,Veste hiver haute-visibilité Marine/Orange fluo,FABDIS,Marine/Orange fluo,COLORM,,,1,1
BLAKLADER,448019778953L,COL,Veste hiver haute-visibilité Marine/Orange fluo,FABDIS,Marine/Orange fluo,COLORM,,,1,1
BLAKLADER,448019778953XL,COL,Veste hiver haute-visibilité Marine/Orange fluo,FABDIS,Marine/Orange fluo,COLORM,,,1,1
BLAKLADER,448019778953XXL,COL,Veste hiver haute-visibilité Marine/Orange fluo,FABDIS,Marine/Orange fluo,COLORM,,,1,1
BLAKLADER,448019778953XXXL,COL,Veste hiver haute-visibilité Marine/Orange fluo,FABDIS,Marine/Orange fluo,COLORM,,,1,1
BLAKLADER,448019779933XS,COL,Veste hiver haute-visibilité Noir/Jaune fluo,FABDIS,Noir/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019779933S,COL,Veste hiver haute-visibilité Noir/Jaune fluo,FABDIS,Noir/Jaune fluo,COLORM,,,1,1
BLAKLADER,4480197799334XL,COL,Veste hiver haute-visibilité Noir/Jaune fluo,FABDIS,Noir/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019779933M,COL,Veste hiver haute-visibilité Noir/Jaune fluo,FABDIS,Noir/Jaune fluo,COLORM,,,1,1
BLAKLADER,448019779933L,COL,Veste hiver haute-visibilité Noir/Jaune fluo,FABDIS,Noir/Jaune fluo,COLORM,,,1,1
