MARQUE,REFCIALE,VCODE,VCODELIBELLE,VTYP,VARIANTE,VFABDIS,VVALEUR,VUNITE,VNUMV,VNUMR
BLAKLADER,449519875389S,COL,Parka hiver haute-visibilité Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,4495198753894XL,COL,Parka hiver haute-visibilité Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,449519875389M,COL,Parka hiver haute-visibilité Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,449519875389L,COL,Parka hiver haute-visibilité Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,449519875389XL,COL,Parka hiver haute-visibilité Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,449519875389XXL,COL,Parka hiver haute-visibilité Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,449519875389XXXL,COL,Parka hiver haute-visibilité Orange fluo/Marine,FABDIS,Orange fluo/Marine,COLORM,,,1,1
BLAKLADER,449519875396XS,COL,Parka hiver haute-visibilité Orange fluo/Gris anthracite,FABDIS,Orange fluo/Gris anthracite,COLORM,,,1,1
BLAKLADER,449519875396S,COL,Parka hiver haute-visibilité Orange fluo/Gris anthracite,FABDIS,Orange fluo/Gris anthracite,COLORM,,,1,1
BLAKLADER,4495198753964XL,COL,Parka hiver haute-visibilité Orange fluo/Gris anthracite,FABDIS,Orange fluo/Gris anthracite,COLORM,,,1,1
BLAKLADER,449519875396M,COL,Parka hiver haute-visibilité Orange fluo/Gris anthracite,FABDIS,Orange fluo/Gris anthracite,COLORM,,,1,1
BLAKLADER,449519875396L,COL,Parka hiver haute-visibilité Orange fluo/Gris anthracite,FABDIS,Orange fluo/Gris anthracite,COLORM,,,1,1
BLAKLADER,449519875396XL,COL,Parka hiver haute-visibilité Orange fluo/Gris anthracite,FABDIS,Orange fluo/Gris anthracite,COLORM,,,1,1
BLAKLADER,449519875396XXL,COL,Parka hiver haute-visibilité Orange fluo/Gris anthracite,FABDIS,Orange fluo/Gris anthracite,COLORM,,,1,1
